fincode,invdate,noshares,percent_aum,schemecode
132313,2026-05-31,3553529,0.65,2796
200091,2026-05-31,2471200,0.64,2796
229852,2026-05-31,8032190,0.63,2796
209587,2026-05-31,4740000,0.61,2796
224623,2026-05-31,8500000,0.60,2796
100875,2026-05-31,3800000,0.60,2796
100096,2026-05-31,2400000,0.58,2796
106395,2026-05-31,600000,0.58,2796
132134,2026-05-31,3900000,0.57,2796
293862,2026-05-31,4000000,0.56,2796
132215,2026-05-31,800000,0.56,2796
107880,2026-05-31,3374277,0.55,2796
200515,2026-05-31,63550,0.51,2796
132281,2026-05-31,780000,0.50,2796
100112,2026-05-31,950000,0.50,2796
302988,2026-05-31,3300000,0.47,2796
122287,2026-05-31,561076,0.40,2796
132755,2026-05-31,465000,0.38,2796
100830,2026-05-31,300000,0.34,2796
107685,2026-05-31,3000000,0.34,2796
317635,2026-05-31,5000000,0.33,2796
102090,2026-05-31,3338867,0.33,2796
216156,2026-05-31,135247,0.30,2796
210258,2026-05-31,1012032,0.28,2796
209420,2026-05-31,711574,0.27,2796
249675,2026-05-31,227100,0.27,2796
100292,2026-05-31,3044266,0.26,2796
217376,2026-05-31,1000000,0.22,2796
100209,2026-05-31,349234,0.22,2796
100470,2026-05-31,1935803,0.22,2796
131162,2026-05-31,1000000,0.22,2796
207778,2026-05-31,3080630,0.21,2796
235355,2026-05-31,147079,0.18,2796
209979,2026-05-31,285050,0.17,2796
123716,2026-05-31,829665,0.17,2796
132454,2026-05-31,160000,0.16,2796
215367,2026-05-31,639295,0.15,2796
200057,2026-05-31,800000,0.15,2796
100038,2026-05-31,489276,0.14,2796
273033,2026-05-31,3465000,0.13,2796
132432,2026-05-31,179171,0.12,2796
222055,2026-05-31,50917,0.12,2796
237191,2026-05-31,282904,0.10,2796
100355,2026-05-31,500000,0.07,2796
275037,2026-05-31,658724,0.04,2796
132689,2026-05-31,75000,0.04,2796
320350,2026-05-31,497442,0.03,2796
216147,2026-05-31,22541,0.00,2796
211337,2026-05-31,300000,2.40,3628
254493,2026-05-31,1655000,2.37,3628
269404,2026-05-31,880000,2.33,3628
100271,2026-05-31,1550000,2.19,3628
132667,2026-05-31,44000000,2.11,3628
132541,2026-05-31,1700000,2.04,3628
207901,2026-05-31,575000,2.01,3628
103100,2026-05-31,1300000,1.94,3628
100469,2026-05-31,7700000,1.87,3628
132331,2026-05-31,750000,1.85,3628
190059,2026-05-31,1150000,1.77,3628
124804,2026-05-31,1437612,1.73,3628
111218,2026-05-31,2100000,1.68,3628
100182,2026-05-31,400000,1.65,3628
105790,2026-05-31,460000,1.60,3628
286335,2026-05-31,1900000,1.58,3628
100067,2026-05-31,1150000,1.54,3628
210590,2026-05-31,350000,1.53,3628
132525,2026-05-31,22700000,1.52,3628
208766,2026-05-31,600000,1.49,3628
132830,2026-05-31,1085000,1.44,3628
132777,2026-05-31,1700000,1.42,3628
103806,2026-05-31,622500,1.42,3628
131642,2026-05-31,2020000,1.40,3628
100257,2026-05-31,725000,1.38,3628
132644,2026-05-31,315000,1.37,3628
207872,2026-05-31,1070000,1.35,3628
132757,2026-05-31,165000,1.32,3628
100493,2026-05-31,800000,1.32,3628
215477,2026-05-31,565000,1.30,3628
122113,2026-05-31,395433,1.21,3628
278580,2026-05-31,20000000,1.20,3628
122275,2026-05-31,275000,1.19,3628
210072,2026-05-31,122500,1.19,3628
293862,2026-05-31,5400000,1.17,3628
106076,2026-05-31,745000,1.15,3628
132296,2026-05-31,600000,1.15,3628
126299,2026-05-31,600000,1.15,3628
132725,2026-05-31,71000,1.09,3628
200091,2026-05-31,2700000,1.08,3628
109480,2026-05-31,2500000,1.05,3628
132814,2026-05-31,1500000,1.05,3628
100113,2026-05-31,6000000,1.03,3628
218763,2026-05-31,750000,1.02,3628
235355,2026-05-31,515000,0.98,3628
218756,2026-05-31,1700000,0.95,3628
100680,2026-05-31,245000,0.95,3628
106395,2026-05-31,625000,0.92,3628
317635,2026-05-31,9000000,0.92,3628
208461,2026-05-31,1840000,0.92,3628
190003,2026-05-31,3775000,0.92,3628
318678,2026-05-31,7000000,0.91,3628
111243,2026-05-31,700000,0.91,3628
132508,2026-05-31,1570000,0.91,3628
217379,2026-05-31,600000,0.91,3628
208607,2026-05-31,704000,0.90,3628
279664,2026-05-31,900000,0.90,3628
215367,2026-05-31,2500000,0.90,3628
117354,2026-05-31,900000,0.89,3628
210036,2026-05-31,1320000,0.88,3628
305013,2026-05-31,26400000,0.87,3628
221842,2026-05-31,782305,0.85,3628
228974,2026-05-31,915000,0.85,3628
289108,2026-05-31,2220715,0.85,3628
132504,2026-05-31,137897,0.83,3628
249927,2026-05-31,2450000,0.83,3628
200020,2026-05-31,1500000,0.82,3628
100233,2026-05-31,900000,0.81,3628
222255,2026-05-31,690000,0.81,3628
