fincode,invdate,percent_aum,schemecode
207979,2025-03-31,10.20,48041
217287,2025-03-31,-7.24,48041
217287,2025-03-31,2.26,44511
217287,2025-03-31,1.91,16672
207979,2025-03-31,0.33,45009
217641,2025-03-31,0.00,45009
217287,2025-03-31,-0.09,45009
293680,2025-03-31,4.49,5926
217287,2025-03-31,-5.93,5926
293680,2025-03-31,0.96,41798
218038,2025-03-31,0.07,41798
217287,2025-03-31,-12.97,41798
293680,2025-03-31,0.44,1278
217287,2025-03-31,1.69,1278
217287,2025-03-31,2.55,3454
207979,2025-03-31,0.27,46112
217287,2025-03-31,1.98,46112
293680,2025-03-31,0.25,8004
217287,2025-03-31,1.92,8004
293680,2025-03-31,2.31,45488
217287,2025-03-31,-0.15,45488
293680,2025-03-31,1.07,15772
217287,2025-03-31,-0.11,15772
217287,2025-03-31,3.22,3462
217287,2025-03-31,0.00,44435
293680,2025-03-31,2.94,40482
217639,2025-03-31,0.00,40482
217287,2025-03-31,1.25,40482
293680,2025-03-31,0.07,7483
217639,2025-03-31,0.00,7483
217287,2025-03-31,1.88,7483
293680,2025-03-31,0.88,46079
218038,2025-03-31,2.45,46079
217287,2025-03-31,2.30,46079
293680,2025-03-31,0.26,46532
217639,2025-03-31,0.00,46532
217287,2025-03-31,2.79,46532
207979,2025-03-31,7.38,49477
217287,2025-03-31,-0.11,49477
293680,2025-03-31,1.57,2805
217287,2025-03-31,1.19,2805
293680,2025-03-31,1.06,1298
217287,2025-03-31,2.30,1298
217287,2025-03-31,-13.78,14561
207979,2025-03-31,9.58,48065
217287,2025-03-31,-6.39,48065
217287,2025-03-31,3.70,3435
293680,2025-03-31,0.01,32455
217287,2025-03-31,3.12,32455
217287,2025-03-31,0.77,3533
293680,2025-03-31,0.57,1615
217639,2025-03-31,0.43,1615
217287,2025-03-31,1.78,1615
217287,2025-03-31,90.76,3574
293680,2025-03-31,5.25,46864
217287,2025-03-31,-1.03,46864
293680,2025-03-31,0.07,7455
217639,2025-03-31,0.00,7455
217287,2025-03-31,1.81,7455
293680,2025-03-31,0.37,1269
217287,2025-03-31,1.94,1269
217287,2025-03-31,1.14,48102
293680,2025-03-31,5.38,31950
217287,2025-03-31,-0.25,31950
217287,2025-03-31,4.40,3617
293680,2025-03-31,0.49,6197
217287,2025-03-31,1.07,6197
207979,2025-03-31,14.91,1909
217287,2025-03-31,-10.46,1909
217287,2025-03-31,-13.45,3601
217287,2025-03-31,2.62,3634
217287,2025-03-31,4.08,3656
217640,2025-03-31,-4.65,3361
293680,2025-03-31,0.79,30426
217287,2025-03-31,2.57,30426
293680,2025-03-31,0.24,621
217287,2025-03-31,0.02,621
293680,2025-03-31,0.93,46941
217287,2025-03-31,2.32,46941
217287,2025-03-31,2.29,45685
207979,2025-03-31,1.99,38735
217287,2025-03-31,0.42,38735
293680,2025-03-31,0.09,31581
217287,2025-03-31,0.09,31581
207979,2025-03-31,1.25,45338
217287,2025-03-31,1.51,45338
293680,2025-03-31,0.42,35459
217639,2025-03-31,0.03,35459
217287,2025-03-31,2.40,35459
207979,2025-03-31,1.06,47284
217641,2025-03-31,0.00,47284
217287,2025-03-31,-0.01,47284
293680,2025-03-31,0.17,3205
218038,2025-03-31,0.32,3205
217287,2025-03-31,1.31,3205
217287,2025-03-31,0.06,37338
207979,2025-03-31,0.37,45387
217641,2025-03-31,1.05,45387
217287,2025-03-31,0.61,45387
217287,2025-03-31,-13.08,44328
293680,2025-03-31,0.43,2770
217287,2025-03-31,2.95,2770
207979,2025-03-31,1.19,405
217287,2025-03-31,10.04,405
207979,2025-03-31,0.04,45999
217287,2025-03-31,2.24,45999
207979,2025-03-31,0.97,7683
217287,2025-03-31,1.37,7683
217287,2025-03-31,-5.54,45753
293680,2025-03-31,0.92,46971
217287,2025-03-31,2.99,46971
293680,2025-03-31,99.62,35122
217287,2025-03-31,0.38,35122
217287,2025-03-31,3.42,3582
293680,2025-03-31,5.73,42784
217285,2025-03-31,85.38,42784
217287,2025-03-31,0.53,42784
293680,2025-03-31,2.19,6291
217639,2025-03-31,0.05,6291
217287,2025-03-31,1.94,6291
217640,2025-03-31,-21.86,3406
207979,2025-03-31,0.36,399
217287,2025-03-31,2.04,399
293680,2025-03-31,0.51,2776
217287,2025-03-31,2.50,2776
207979,2025-03-31,1.12,8136
217287,2025-03-31,2.67,8136
293680,2025-03-31,0.88,46506
217287,2025-03-31,-0.04,46506
217287,2025-03-31,0.96,3564
293680,2025-03-31,1.65,2756
217287,2025-03-31,1.71,2756
293680,2025-03-31,0.73,42706
218038,2025-03-31,86.24,42706
217287,2025-03-31,0.38,42706
207979,2025-03-31,0.68,302
217287,2025-03-31,2.58,302
293680,2025-03-31,0.79,46528
217287,2025-03-31,0.96,46528
293680,2025-03-31,0.41,4186
217639,2025-03-31,-2.41,4186
293680,2025-03-31,1.56,2139
217287,2025-03-31,-0.21,2139
217287,2025-03-31,2.86,3631
207979,2025-03-31,0.39,497
217287,2025-03-31,2.35,497
207979,2025-03-31,0.48,46227
217287,2025-03-31,2.65,46227
293680,2025-03-31,19.16,883
217287,2025-03-31,-1.15,883
217287,2025-03-31,-1.03,5836
217287,2025-03-31,2.53,49528
293680,2025-03-31,0.03,1084
217639,2025-03-31,0.00,1084
217287,2025-03-31,1.60,1084
217287,2025-03-31,-12.30,2149
293680,2025-03-31,3.84,48747
217639,2025-03-31,0.05,48747
217287,2025-03-31,1.42,48747
293680,2025-03-31,1.50,2253
217287,2025-03-31,1.46,2253
293680,2025-03-31,1.08,45100
217287,2025-03-31,3.26,45100
293680,2025-03-31,6.94,4609
217287,2025-03-31,5.47,4609
217287,2025-03-31,3.09,39630
293680,2025-03-31,4.29,46624
217287,2025-03-31,-0.17,46624
293680,2025-03-31,2.86,2127
217287,2025-03-31,-0.53,2127
207979,2025-03-31,1.11,422
217287,2025-03-31,1.98,422
207979,2025-03-31,0.13,5437
217641,2025-03-31,0.10,5437
217287,2025-03-31,-8.98,5437
207979,2025-03-31,1.04,12380
217287,2025-03-31,2.38,12380
293680,2025-03-31,0.33,46871
217287,2025-03-31,1.83,46871
293680,2025-03-31,3.72,39625
217639,2025-03-31,-0.06,39625
293680,2025-03-31,1.98,45111
217287,2025-03-31,2.06,45111
207979,2025-03-31,1.81,25167
217287,2025-03-31,0.10,25167
217287,2025-03-31,2.33,3439
293680,2025-03-31,1.54,46975
217287,2025-03-31,1.08,46975
207979,2025-03-31,1.02,45337
217287,2025-03-31,2.71,45337
293680,2025-03-31,3.68,2153
217287,2025-03-31,-0.18,2153
293680,2025-03-31,1.96,1617
217287,2025-03-31,2.83,1617
