fincode,invdate,percent_aum,schemecode
1134463,2026-05-31,0.22,1286
1134393,2026-05-31,0.22,1286
1134487,2026-05-31,0.22,1286
1134512,2026-05-31,0.22,1286
1133498,2026-05-31,0.21,1286
1133761,2026-05-31,0.18,1286
1133762,2026-05-31,0.18,1286
1133763,2026-05-31,0.18,1286
1133764,2026-05-31,0.18,1286
1134513,2026-05-31,0.18,1286
1134514,2026-05-31,0.18,1286
1133743,2026-05-31,0.15,1286
1133883,2026-05-31,0.15,1286
1133975,2026-05-31,0.15,1286
1130710,2026-05-31,0.11,1286
1131018,2026-05-31,0.11,1286
1133937,2026-05-31,0.11,1286
1133876,2026-05-31,0.11,1286
1129702,2026-05-31,0.07,1286
1133724,2026-05-31,0.07,1286
1133737,2026-05-31,5.48,1286
1133412,2026-05-31,3.97,1286
1129162,2026-05-31,1.16,1286
1131559,2026-05-31,0.70,1286
1133730,2026-05-31,0.58,1286
1132314,2026-05-31,0.22,1286
1133898,2026-05-31,0.15,1286
1131720,2026-05-31,0.01,1286
1055119,2026-05-31,0.16,1659
1055075,2026-05-31,0.09,1659
1055076,2026-05-31,0.03,1659
1115804,2026-05-31,0.34,1659
1107248,2026-05-31,0.31,1659
1112685,2026-05-31,0.22,1659
1116974,2026-05-31,0.17,1659
1118607,2026-05-31,0.13,1659
1117477,2026-05-31,0.09,1659
1057878,2026-05-31,0.09,1659
1133868,2026-05-31,3.43,1659
1133381,2026-05-31,2.58,1659
1133813,2026-05-31,1.89,1659
1134258,2026-05-31,1.70,1659
1134413,2026-05-31,1.69,1659
1134432,2026-05-31,1.69,1659
1134489,2026-05-31,1.28,1659
1134458,2026-05-31,1.27,1659
1134212,2026-05-31,1.19,1659
1134203,2026-05-31,1.10,1659
1130570,2026-05-31,1.07,1659
1134453,2026-05-31,0.93,1659
1133377,2026-05-31,0.86,1659
1133430,2026-05-31,0.86,1659
1130127,2026-05-31,0.85,1659
1132625,2026-05-31,0.64,1659
1133716,2026-05-31,0.51,1659
1134410,2026-05-31,0.42,1659
1133134,2026-05-31,0.34,1659
1133431,2026-05-31,0.34,1659
1133088,2026-05-31,0.26,1659
1130142,2026-05-31,0.26,1659
1130215,2026-05-31,0.21,1659
1131567,2026-05-31,0.17,1659
1130568,2026-05-31,0.13,1659
1128744,2026-05-31,0.09,1659
1131834,2026-05-31,0.09,1659
1128941,2026-05-31,0.01,1659
1134422,2026-05-31,3.69,1659
1134400,2026-05-31,3.43,1659
1133719,2026-05-31,1.71,1659
1133726,2026-05-31,1.29,1659
1134211,2026-05-31,1.27,1659
1133139,2026-05-31,1.03,1659
1133458,2026-05-31,1.03,1659
1133140,2026-05-31,0.86,1659
1133912,2026-05-31,0.86,1659
1133710,2026-05-31,0.86,1659
1133937,2026-05-31,0.86,1659
1133707,2026-05-31,0.85,1659
1133727,2026-05-31,0.85,1659
1134293,2026-05-31,0.85,1659
1134495,2026-05-31,0.85,1659
1134492,2026-05-31,0.85,1659
1134493,2026-05-31,0.84,1659
1134393,2026-05-31,0.76,1659
1134466,2026-05-31,0.76,1659
1129908,2026-05-31,0.69,1659
1133728,2026-05-31,0.68,1659
1134426,2026-05-31,0.68,1659
1132065,2026-05-31,0.52,1659
1133141,2026-05-31,0.52,1659
1134239,2026-05-31,0.51,1659
1133432,2026-05-31,0.51,1659
1134200,2026-05-31,0.51,1659
1134409,2026-05-31,0.51,1659
1134496,2026-05-31,0.51,1659
1133142,2026-05-31,0.43,1659
1133143,2026-05-31,0.43,1659
1133124,2026-05-31,0.43,1659
1133487,2026-05-31,0.43,1659
1133440,2026-05-31,0.43,1659
